Name,Adresse,GebDatum,Telefon
Thore Eichhorn, "Kyffhäuserstr. 13, 67547 Worms", 1998-12-05, (0624174747)
Maurizio Nette,"Zahnweg 0,82505 Querfurt",1913-12-28,05768 401245
Traute Eimer,"Klaus-Werner-Kramer-Straße 87,21837 Lübben",1918-02-04,(06315) 47866
Veronika Gnatz,"Hüseyin-Gertz-Ring 20,92058 Bernburg",2012-09-25,(01069) 36743
Ing. Charlotte Sölzer,"Heinz-Werner-Huhn-Platz 595,11363 Gifhorn",1964-08-09,01764 90195
Editha Bruder,"Wilfried-Bolnbach-Allee 3,04530 Ebersberg",1955-10-15,+49(0)2209 66205
Maurice Wernecke,"Fliegnerstraße 0,78929 Eilenburg",1972-02-19,+49 (0) 4054 938593
Prof. Lina Neureuther,"Beate-Ruppert-Ring 7,55531 Jülich",1970-12-13,+49(0) 581699652
Luciano Rohleder,"Mona-Weimer-Gasse 7,15149 Kaiserslautern",1955-12-16,(01234) 061701
Margarita Klotz,"Alena-Bärer-Straße 81,38530 Burg",1910-08-29,+49(0)5946121109
Janko Freudenberger-Bloch,"Bruderstr. 67,25903 Zossen",2016-10-25,+49(0)0359185128
Curt Schuster,"Binnergasse 8,84982 Worbis",1976-05-31,+49(0) 941407123
Univ.Prof. Ladislaus Ruppersberger,"Thiesstraße 7,21430 Hildburghausen",1956-12-28,+49(0)6471 56904
Aline Speer,"Winklerweg 36,07184 Sebnitz",1932-02-04,09492 50637
Ing. Milena Wulff,"Sahin-Schulz-Gasse 37,95530 Spremberg",1965-11-19,0395565262
Lutz Junck,"Hertrampfstraße 701,61030 Forst",1926-10-31,(01817) 447973
Klaus-Dieter Kühnert,"Kristine-Hecker-Straße 05,82206 Soltau",2012-01-10,02701065822
Leo Gunpf,"Tom-Beier-Platz 281,18102 Olpe",1912-02-02,+49(0)3394 843181
Eckehard Lachmann,"Löwerring 33,38170 Staffelstein",1929-02-25,01609082765
Dieter Paffrath,"Radischstraße 27,58968 Osterode am Harz",2012-03-18,+49(0)5570951975
Dr. Alfredo Stiffel,"Erhard-Schenk-Ring 4,54552 Roding",1958-11-06,+49(0)2094 741482
Janna Weinhage,"Hanna-Löchel-Ring 9,14798 Wittstock",1927-03-27,04263 592092
Elisa Wulf,"Aumanngasse 54,72953 Schwarzenberg",1991-05-25,08659634645
Univ.Prof. Elena Schmiedecke,"Albina-Putz-Weg 4,17122 Uelzen",2009-11-26,+49(0)9355 162074
Jasmin Ruppersberger-Hertrampf,"Mälzerring 931,47992 Erkelenz",1972-09-19,(03117) 44924
Thea Rudolph,"Budigstr. 94,97470 Böblingen",1972-11-01,+49(0)8146 185950
Prof. Henrike Barkholz,"Hertrampfplatz 905,35099 Pinneberg",1939-01-28,(09077) 40634
Slawomir Beer,"Zorbachstraße 59,28001 Großenhain",1939-10-27,+49(0) 726841129
Christine Hahn,"Katharina-Freudenberger-Platz 27,42032 Deggendorf",1939-12-25,05117 30582
Veli Schacht-Mosemann,"Gierschnerplatz 3,40097 Wolfach",1979-09-16,+49(0)4829 069394
Karoline Vollbrecht,"Rabea-Lange-Gasse 1,29908 Kusel",2020-08-22,0088997483
Dipl.-Ing. Friedericke Hecker,"Erdogan-Wiek-Ring 78,00659 Gütersloh",1961-10-06,0891640895
Gerda Heuser,"Sepp-Preiß-Weg 50,86010 Lübben",1925-03-31,+49(0)6242 136266
Jörgen Ackermann,"Gröttnerweg 06,73401 Calw",1942-12-12,(05117) 367503
Erhardt Stey,"Radischstraße 42,65186 Finsterwalde",1916-04-22,08132 765756
Virginia Pärtzelt,"Joseph-Gute-Allee 33,03679 Wunsiedel",1943-05-01,(03776) 16660
Prof. Lene Klingelhöfer,"Pasquale-Textor-Gasse 485,44065 Soest",1928-05-29,06091 23790
Lea Eimer-Ritter,"Rosl-Wende-Weg 889,91785 Koblenz",1941-04-13,00079 29238
Heinfried Karge,"Handestraße 98,81280 Beilngries",1944-12-22,(06024) 980047
Marlene Krause,"Gerda-Köster-Ring 0,71669 Geldern",2017-12-27,08918 902472
Wilfriede Schuchhardt,"Margrafallee 830,44313 Füssen",1974-03-18,00157 25824
Prof. Uwe Blümel,"Nurten-Warmer-Straße 450,40053 Burglengenfeld",1976-05-31,02586841528
Univ.Prof. Siglinde Herrmann,"Bärbel-Heydrich-Straße 45,76368 Freital",2021-12-14,(03001) 67441
Ingmar Hölzenbecher-Fliegner,"Bettina-Mude-Platz 09,74558 Artern",2003-09-12,+49(0)5591 21795
Dipl.-Ing. Johannes Dietz,"Kenan-Mülichen-Gasse 085,80286 Bersenbrück",1916-04-14,07962 445142
Almut Schäfer,"Anneliese-Trüb-Allee 801,83811 Sigmaringen",1958-08-26,09507 888999
Arnold Drub,"Martinring 5,04136 Sebnitz",1975-02-19,+49 (0) 5042 036732
Lucie Baum,"Sylke-Börner-Gasse 954,28603 Donaueschingen",1934-06-09,+49(0)0736 71670
Hanne Kramer-Eberhardt,"Tilman-Meyer-Allee 680,55038 Grafenau",1983-01-09,+49(0)1358275161
Hans-Karl Junk,"Hänelgasse 71,15022 Pinneberg",1925-07-23,03491867409
Stefani Eberth,"Heßplatz 6,40062 Kronach",1933-12-24,+49 (0) 1522 094429
Meik Schmidtke,"Holtplatz 675,57034 Gardelegen",1945-04-15,04441 17742
Angelica Kobelt,"Nettestraße 9,17473 Bergzabern",1949-08-05,+49(0)9218147843
Vlado Hölzenbecher,"Hedy-Binner-Straße 51,01378 Mainburg",1959-08-22,01912 088176
Dorit Bauer,"Augustin-Weinhold-Weg 14,05392 Sankt Goarshausen",1987-09-14,(07442) 074815
Marzena Gorlitz,"Andres-Meister-Platz 71,75290 Leipziger Land",1958-04-27,(08919) 609861
Dr. Asta Bohnbach,"Luka-Zahn-Straße 4,67756 Hildburghausen",1917-12-19,+49 (0) 8642 760942
Julie Hethur,"Tim-Weller-Weg 74,91231 Warendorf",2012-09-03,+49(0)7374054154
Ilhan Stahr,"Möchlichengasse 29,36789 Geithain",1979-04-30,(00965) 14162
Ada Spieß,"Klappstr. 788,38305 Ilmenau",2015-07-15,09957031173
Istvan Kühnert,"Heinz-Otto-Killer-Gasse 40,07969 Hildesheim",1992-09-14,+49(0)0684 18230
Otmar Bähr,"Heinz-Willi-Geisler-Allee 319,40368 Kulmbach",1940-01-23,+49(0)6056 782665
Anto Keudel-Zobel,"Gröttnerring 56,44867 Emmendingen",1953-11-03,(03334) 051189
Rafael Heinrich,"Goran-Tlustek-Platz 9,17978 Nördlingen",1916-12-09,+49 (0) 7667 889120
Meryem Köhler,"Annett-Kambs-Weg 02,49415 Chemnitz",1924-04-19,0696548811
Geza Kramer-Weihmann,"Lorenz-Lindner-Allee 46,61054 Nürtingen",1987-11-03,(05426) 53137
Anka Schmidt,"Ziegertallee 443,34721 Regensburg",1983-07-24,+49 (0) 6191 124001
Gundolf Fiebig,"Katarina-Seidel-Platz 60,39068 Perleberg",1973-04-16,+49(0)7834 487669
Camilla Dörschner,"Bolandergasse 6,93754 Höxter",1930-06-06,(05266) 08926
Adem Cichorius,"Fedor-Hellwig-Straße 55,79285 Havelberg",1979-04-28,+49 (0) 0018 830235
Marvin Segebahn,"Marcus-Geisel-Gasse 29,71455 Bogen",1990-10-19,+49(0) 881642482
Brita Zorbach,"Heringstraße 48,65168 Altötting",1943-10-26,04035462660
Alida Koch-Faust,"Pölitzring 736,16048 Burg",1916-06-07,+49(0)2720 02189
Aneta Kallert,"Eugenie-Hornig-Straße 893,04162 Lüdinghausen",1973-01-22,03626 79250
Ludwig Budig,"Hoffmannring 63,23069 Hammelburg",1935-09-11,+49(0)2079 43158
Renata Stoll,"Jüttnergasse 36,24487 Meppen",2001-10-24,+49 (0) 6622 294556
Andrew Köster,"Ritterweg 65,60046 Pasewalk",1982-03-06,+49(0)8308 29945
Edwin Paffrath,"Kornelius-Rogner-Platz 48,29177 Beeskow",1958-07-31,+49(0)5505 32374
Prof. Hans-Friedrich Schuchhardt,"Gunhild-Bender-Ring 885,83607 Lichtenfels",1912-11-08,06156 906433
Sami Kuhl,"Zimmergasse 2,79804 Pinneberg",1939-05-22,(08640) 277108
Severin Faust-Köhler,"Waltraut-Rudolph-Ring 6,51245 Parchim",1983-09-11,00674 05893
Hanns Gnatz,"Hentschelstr. 2,10824 Erding",1976-12-24,08598 22526
Ralf Hesse-Krein,"Abdullah-Grein Groth-Ring 86,62409 Norden",1931-01-25,02683356796
Vincenzo Otto-Hermighausen,"Emanuel-Dietz-Straße 8,82385 Stollberg",1946-11-10,09259 478689
Ulf Jacob,"Eckard-Sölzer-Gasse 13,68137 Uelzen",1950-11-22,+49(0)1207 002544
Betti Jessel,"Kühnertstr. 08,48710 Stollberg",1968-03-09,08186 13217
Ing. Tanja Ruppert,"Sükrü-Rosenow-Weg 65,18466 Wunsiedel",1980-02-29,+49(0) 053179432
Harri Budig,"Leander-Gertz-Gasse 961,76618 Zschopau",1954-08-26,(04100) 237436
Anneliese Hofmann,"Yusuf-Ditschlerin-Ring 067,67275 Osterburg",1954-06-18,02467 57505
Diana Zänker-Reichmann,"Striebitzplatz 99,58484 Schwäbisch Hall",1988-06-14,00165 094418
Marlene Baum,"Dajana-Ladeck-Platz 95,60483 Badibling",1943-04-05,08274655304
Abraham Zimmer,"Mikhail-Mühle-Ring 93,82273 Oranienburg",1926-02-03,+49(0)0460071225
Gunda Eimer,"Traude-Ullrich-Straße 47,59532 Biedenkopf",1990-01-22,+49(0)1704 12416
Prof. Grit Atzler,"Petar-Pruschke-Straße 6,77702 Hagenow",1994-01-03,(08876) 280005
Horst-Günter Geisel,"Christoph-Ritter-Straße 70,33795 Kelheim",1945-11-21,(08899) 70109
Mirella Rosemann,"Mirjana-Nette-Platz 3,27488 Steinfurt",1977-12-06,(08157) 41236
Univ.Prof. Elfie Schmiedt,"Magrit-Henschel-Gasse 28,25521 Quedlinburg",1948-12-20,+49(0)2930 335658
Emilie Mitschke,"José-Gute-Ring 72,15737 Borna",1967-10-23,+49 (0) 2049 410711
Friedrich-Karl Hövel,"Jockelplatz 85,70205 Hechingen",2007-03-25,+49(0)8755 882392
Arnold Wohlgemut,"Ulla-Weihmann-Weg 03,51584 Paderborn",1931-08-22,+49(0)5614 233101
Änne Tlustek,"Greta-Lehmann-Gasse 05,18369 Säckingen",1951-07-18,04530080752
Valentina Krebs,"Walther-Mielcarek-Platz 179,54668 Ravensburg",2008-03-22,+49(0) 602003562
Ing. Justus Jockel,"Nada-Kreusel-Gasse 70,96551 Görlitz",2008-11-12,0722385595
Isabell Säuberlich,"Dunja-Gunpf-Weg 850,28622 Badibling",1942-09-21,0652437617
Lisa Kreusel,"Käthi-Heser-Weg 032,46541 Schmölln",1981-07-07,03777 560402
Roderich Zobel,"Niels-Kensy-Platz 64,90951 Döbeln",2007-11-27,06947 46518
Anja Hentschel,"Florence-Zobel-Platz 519,10171 Spremberg",2010-09-06,04175 212454
Eileen Graf,"Janina-Keudel-Straße 464,52619 Wolmirstedt",2020-05-30,+49(0)6691 811723
Hedi Gieß,"Andrew-Stiebitz-Platz 48,32632 Böblingen",1957-11-21,0228596516
Milka Schleich,"Theodor-Bolnbach-Straße 5,89755 Waldmünchen",1956-05-03,0665504202
Prof. Rosalie Linke,"Francoise-Lindau-Straße 673,25356 Gerolzhofen",2001-10-19,+49(0) 985981691
Joerg Jüttner,"Wilfried-Gute-Ring 08,85656 Freital",2015-02-25,+49 (0) 2096 650777
Carina Loos-Hecker,"Katy-Karge-Straße 8,69185 Badibling",1968-01-23,+49(0) 265115300
Margaretha Kallert,"Agnieszka-Jacobi Jäckel-Weg 03,57409 Uelzen",1917-11-30,05845 092997
Maxim Rohleder,"Löfflerring 150,52233 Berchtesgaden",1945-10-24,0165968343
Dipl.-Ing. Ole Linke,"Klappstr. 89,13239 Peine",2003-05-06,+49(0)7712 661974
Carmine Thies,"Rudolphplatz 3,24297 Wolgast",1952-09-03,0032444038
Ing. Dorothee Bachmann,"Goran-Berger-Platz 9,95000 Osterode am Harz",1952-09-17,(07926) 43389
Andy Wähner,"Tomas-Häring-Allee 020,78750 Lübeck",1927-12-23,0235135220
Marten Müller,"Drubinplatz 30,47442 Waren",1992-02-09,09597139266
Achim Langern,"Sabrina-Hänel-Straße 97,23996 Kemnath",1996-10-26,+49(0)0529621641
Cäcilia Matthäi,"Janine-Langern-Weg 2,38765 Schwerin",1954-10-13,+49(0)3605 944622
Univ.Prof. Karl-Ernst Bolander,"Heintzegasse 40,77103 Gotha",1994-12-11,+49 (0) 3760 311423
Stephan Franke-Weiß,"Neureuthergasse 32,20945 Wolgast",1995-03-05,+49(0) 869271271
